request_id,dataset_index,timestamp_s,decoded_tokens
0,1286,3936344.182207316,1
4,895,3936344.670586512,1
11,1095,3936344.671587417,1
2,926,3936344.671711800,1
8,415,3936344.671809553,1
12,140,3936344.671905436,1
9,1029,3936344.671999078,1
14,1761,3936344.672115751,1
5,1550,3936344.672215423,1
7,1996,3936344.672302286,1
16,1486,3936344.672380597,1
3,1874,3936344.673062225,1
13,1582,3936344.673169787,1
1,2025,3936344.673258810,1
15,107,3936344.673345452,1
10,541,3936344.673424304,1
6,1641,3936344.673510766,1
18,359,3936344.673593208,1
17,394,3936344.673671510,1
31,477,3936345.170513941,1
32,495,3936345.171232279,1
26,6,3936345.171339791,1
33,1842,3936345.171413013,1
19,1056,3936345.171479575,1
21,1596,3936345.171549247,1
24,904,3936345.171612788,1
30,602,3936345.171675140,1
20,1306,3936345.171741881,1
29,209,3936345.171801893,1
34,1460,3936345.172336927,1
22,104,3936345.172419339,1
27,144,3936345.172493571,1
25,1152,3936345.172552782,1
28,835,3936345.172615694,1
23,993,3936345.172672755,1
46,934,3936345.173414914,1
43,799,3936345.173497886,1
42,370,3936345.173560998,1
35,812,3936345.173618509,1
45,1592,3936345.173685841,1
36,1802,3936345.173745902,1
41,438,3936345.173803913,1
37,1751,3936345.173869015,1
40,1526,3936345.173930497,1
44,1361,3936345.173989378,1
39,1105,3936345.174070100,1
47,1843,3936345.174129282,1
38,542,3936345.174188443,1
51,403,3936345.654877156,1
60,1541,3936345.655499522,1
53,1968,3936345.655590014,1
50,1932,3936345.655653806,1
55,1326,3936345.655721067,1
59,1658,3936345.655783319,1
48,1637,3936345.655842250,1
61,177,3936345.655901592,1
52,326,3936345.655961563,1
62,891,3936345.656557038,1
49,1035,3936345.656635510,1
57,1507,3936345.656704332,1
56,452,3936345.656763734,1
63,1725,3936345.656819295,1
54,1733,3936345.656873126,1
58,1848,3936345.656932058,1
66,1045,3936345.656991659,1
69,1254,3936345.657074311,1
64,89,3936345.657133353,1
70,197,3936345.657547483,1
71,575,3936345.657621825,1
68,1058,3936345.657680167,1
65,1535,3936345.657734698,1
67,1469,3936345.657793740,1
84,1087,3936346.141951560,1
87,561,3936346.142542275,1
74,740,3936346.142632397,1
81,1782,3936346.142715759,1
76,366,3936346.142782691,1
85,912,3936346.142850803,1
83,1956,3936346.142916224,1
73,1859,3936346.142991726,1
78,757,3936346.143582991,1
80,1483,3936346.143667543,1
86,879,3936346.143732635,1
77,1133,3936346.143798466,1
82,2035,3936346.143869468,1
75,426,3936346.143938370,1
72,289,3936346.144014972,1
79,1059,3936346.144080163,1
96,1346,3936346.144727350,1
94,469,3936346.144807122,1
95,837,3936346.144878684,1
97,871,3936346.144940915,1
98,1823,3936346.145000267,1
89,1244,3936346.145078999,1
93,1885,3936346.145137580,1
90,1216,3936346.145194762,1
88,416,3936346.145268944,1
92,588,3936346.145327245,1
91,994,3936346.145393917,1
109,1408,3936346.567959512,1
108,1554,3936346.568580798,1
99,613,3936346.568672540,1
102,429,3936346.568770593,1
104,790,3936346.568837055,1
114,1090,3936346.568901906,1
103,785,3936346.568985328,1
111,466,3936346.569093961,1
110,1828,3936346.569634364,1
107,2027,3936346.569721107,1
106,800,3936346.569782268,1
105,346,3936346.569840870,1
101,1212,3936346.569898521,1
100,1566,3936346.569955153,1
112,1422,3936346.570034825,1
113,1410,3936346.570103876,1
125,481,3936346.572960028,1
116,920,3936346.573060841,1
120,1636,3936346.573130203,1
115,1245,3936346.573193845,1
119,1275,3936346.573249436,1
122,1449,3936346.573308177,1
123,154,3936346.573364759,1
126,217,3936346.573419180,1
121,741,3936346.573477222,1
124,1617,3936346.573531443,1
118,1447,3936346.573581674,1
117,970,3936346.573633285,1
4,895,3936347.548607124,65
11,1095,3936347.549404814,65
2,926,3936347.549535587,65
8,415,3936347.549645960,65
12,140,3936347.549734813,65
9,1029,3936347.549816335,65
14,1761,3936347.549895466,65
5,1550,3936347.549981299,65
7,1996,3936347.550096971,65
3,1874,3936347.550180964,65
0,1286,3936347.550658356,65
1,2025,3936347.550754058,65
13,1582,3936347.550831000,65
10,541,3936347.550906492,65
15,107,3936347.550978324,65
6,1641,3936347.551068756,65
31,477,3936347.552135743,65
17,394,3936347.552246096,65
26,6,3936347.552334368,65
18,359,3936347.552413710,65
19,1056,3936347.552487042,65
21,1596,3936347.552558474,65
24,904,3936347.552631516,65
16,1486,3936347.552714238,65
20,1306,3936347.552787279,65
30,602,3936347.552862261,65
29,209,3936347.552936913,65
22,104,3936347.553019985,65
27,144,3936347.553093187,65
25,1152,3936347.553162229,65
28,835,3936347.553231361,65
23,993,3936347.553300012,65
46,934,3936347.554268007,65
32,495,3936347.554370939,65
43,799,3936347.554449661,65
33,1842,3936347.554521493,65
35,812,3936347.554593155,65
42,370,3936347.554658797,65
36,1802,3936347.554726468,65
45,1592,3936347.554791200,65
41,438,3936347.554864002,65
37,1751,3936347.554930774,65
40,1526,3936347.555049187,65
44,1361,3936347.555121649,65
39,1105,3936347.555189960,65
34,1460,3936347.555262702,65
47,1843,3936347.555335314,65
38,542,3936347.555409316,65
51,403,3936347.557090358,65
60,1541,3936347.557188341,65
53,1968,3936347.557266983,65
50,1932,3936347.557339544,65
55,1326,3936347.557408056,65
59,1658,3936347.557480128,65
48,1637,3936347.557552640,65
61,177,3936347.557621101,65
52,326,3936347.557703274,65
62,891,3936347.557777496,65
49,1035,3936347.557848367,65
57,1507,3936347.557921239,65
56,452,3936347.557991901,65
63,1725,3936347.558081173,65
54,1733,3936347.558165235,65
58,1848,3936347.558243237,65
66,1045,3936347.558312579,65
69,1254,3936347.558382081,65
64,89,3936347.558458142,65
70,197,3936347.558525704,65
71,575,3936347.558595156,65
74,740,3936347.558663448,65
76,366,3936347.558732300,65
68,1058,3936347.558799291,65
72,289,3936347.558866933,65
73,1859,3936347.558943095,65
78,757,3936347.559038577,65
77,1133,3936347.559113819,65
75,426,3936347.559189521,65
65,1535,3936347.559257723,65
79,1059,3936347.559327675,65
67,1469,3936347.559405537,65
84,1087,3936347.561272844,65
87,561,3936347.561382627,65
94,469,3936347.561465518,65
95,837,3936347.561541080,65
89,1244,3936347.561612012,65
93,1885,3936347.561681884,65
90,1216,3936347.561752156,65
85,912,3936347.561827228,65
83,1956,3936347.561897769,65
88,416,3936347.561970141,65
80,1483,3936347.562056633,65
86,879,3936347.562126965,65
92,588,3936347.562196777,65
82,2035,3936347.562269199,65
81,1782,3936347.562338891,65
91,994,3936347.562405842,65
109,1408,3936347.562477424,65
108,1554,3936347.562546926,65
99,613,3936347.562616418,65
97,871,3936347.562686459,65
102,429,3936347.562757511,65
104,790,3936347.562837223,65
98,1823,3936347.562904965,65
103,785,3936347.562973357,65
111,466,3936347.563065649,65
110,1828,3936347.563135221,65
107,2027,3936347.563205902,65
106,800,3936347.563275604,65
105,346,3936347.563342416,65
101,1212,3936347.563407567,65
100,1566,3936347.563473779,65
96,1346,3936347.563538221,65
125,481,3936347.564455954,65
116,920,3936347.564549366,65
118,1447,3936347.564621978,65
120,1636,3936347.564694270,65
115,1245,3936347.564763192,65
119,1275,3936347.564828734,65
122,1449,3936347.564897555,65
123,154,3936347.564961947,65
126,217,3936347.565052459,65
114,1090,3936347.565121561,65
121,741,3936347.565188223,65
124,1617,3936347.565253394,65
112,1422,3936347.565319756,65
113,1410,3936347.565385397,65
117,970,3936347.565450459,65
4,895,3936348.552232665,129
