request_id,dataset_index,timestamp_s,decoded_tokens
0,1286,3936344.201602885,1
15,107,3936344.694102606,1
1,2025,3936344.694594628,1
2,926,3936344.694655420,1
6,1641,3936344.694701071,1
16,1486,3936344.694744352,1
7,1996,3936344.694783943,1
11,1095,3936344.694826764,1
10,541,3936344.694864575,1
14,1761,3936344.694898866,1
3,1874,3936344.694936827,1
8,415,3936344.694972688,1
4,895,3936344.695024229,1
9,1029,3936344.695273265,1
12,140,3936344.695320576,1
13,1582,3936344.695363008,1
5,1550,3936344.695403829,1
17,394,3936344.695440839,1
18,359,3936344.695475171,1
20,1306,3936345.187056938,1
21,1596,3936345.187765106,1
30,602,3936345.187866919,1
34,1460,3936345.187936970,1
22,104,3936345.188023482,1
31,477,3936345.188091454,1
29,209,3936345.188154936,1
28,835,3936345.188217387,1
19,1056,3936345.188291449,1
26,6,3936345.188352991,1
25,1152,3936345.188409842,1
33,1842,3936345.188829113,1
23,993,3936345.188907115,1
24,904,3936345.188974386,1
27,144,3936345.189059349,1
32,495,3936345.189119420,1
35,812,3936345.189801807,1
46,934,3936345.189879199,1
37,1751,3936345.189937921,1
38,542,3936345.190015183,1
41,438,3936345.190087104,1
47,1843,3936345.190148916,1
40,1526,3936345.190209988,1
44,1361,3936345.190266719,1
42,370,3936345.190319950,1
39,1105,3936345.190374082,1
36,1802,3936345.190433083,1
43,799,3936345.190487375,1
45,1592,3936345.190544316,1
63,1725,3936345.971254211,1
54,1733,3936345.972062492,1
50,1932,3936345.972155064,1
52,326,3936345.972224596,1
55,1326,3936345.972287227,1
59,1658,3936345.972354169,1
53,1968,3936345.972416211,1
58,1848,3936345.972474372,1
56,452,3936345.972528884,1
49,1035,3936345.972590575,1
60,1541,3936345.972650947,1
61,177,3936345.972712958,1
48,1637,3936345.972774710,1
51,403,3936345.973484757,1
62,891,3936345.973568600,1
57,1507,3936345.973629131,1
65,1535,3936345.973685563,1
66,1045,3936345.973740074,1
67,1469,3936345.973805786,1
70,197,3936345.973865127,1
68,1058,3936345.973929839,1
64,89,3936345.973982890,1
71,575,3936345.974056362,1
69,1254,3936345.974110133,1
81,1782,3936346.448691652,1
73,1859,3936346.449454721,1
74,740,3936346.449556394,1
75,426,3936346.449622666,1
80,1483,3936346.449682837,1
83,1956,3936346.449743289,1
84,1087,3936346.449814180,1
82,2035,3936346.449878612,1
78,757,3936346.449936703,1
86,879,3936346.449994475,1
87,561,3936346.450071097,1
77,1133,3936346.450556889,1
85,912,3936346.450636981,1
79,1059,3936346.450708393,1
76,366,3936346.450773384,1
72,289,3936346.450834496,1
89,1244,3936346.450893318,1
91,994,3936346.450947589,1
95,837,3936346.451528243,1
94,469,3936346.451609256,1
93,1885,3936346.451681417,1
92,588,3936346.451741439,1
97,871,3936346.451797270,1
98,1823,3936346.451853652,1
90,1216,3936346.451907963,1
88,416,3936346.451967714,1
96,1346,3936346.452035666,1
105,346,3936346.868198160,1
104,790,3936346.868972300,1
107,2027,3936346.869085773,1
112,1422,3936346.869153064,1
113,1410,3936346.869212646,1
99,613,3936346.869277318,1
108,1554,3936346.869338459,1
110,1828,3936346.869398111,1
106,800,3936346.869453852,1
103,785,3936346.869511473,1
109,1408,3936346.869574085,1
111,466,3936346.869639817,1
100,1566,3936346.870206461,1
102,429,3936346.870289033,1
101,1212,3936346.870350645,1
114,1090,3936346.870409106,1
120,1636,3936346.870473338,1
117,970,3936346.870532849,1
119,1275,3936346.870592981,1
126,217,3936346.870648432,1
115,1245,3936346.870709214,1
116,920,3936346.871187656,1
121,741,3936346.871273258,1
124,1617,3936346.873616407,1
125,481,3936346.873686469,1
123,154,3936346.873745160,1
118,1447,3936346.873801892,1
122,1449,3936346.873865783,1
0,1286,3936348.214362558,65
15,107,3936348.215243830,65
1,2025,3936348.215353503,65
2,926,3936348.215448015,65
6,1641,3936348.215524197,65
7,1996,3936348.215597229,65
11,1095,3936348.215668981,65
10,541,3936348.215737482,65
14,1761,3936348.215834975,65
3,1874,3936348.215947878,65
8,415,3936348.216083121,65
4,895,3936348.216202934,65
9,1029,3936348.216782019,65
12,140,3936348.216918952,65
13,1582,3936348.217065256,65
5,1550,3936348.217189339,65
20,1306,3936348.218478762,65
18,359,3936348.218607005,65
21,1596,3936348.218723848,65
16,1486,3936348.218844291,65
30,602,3936348.218967904,65
17,394,3936348.219112818,65
22,104,3936348.219265152,65
31,477,3936348.219413395,65
29,209,3936348.219531758,65
28,835,3936348.219651531,65
19,1056,3936348.219754614,65
26,6,3936348.219866787,65
25,1152,3936348.219967519,65
23,993,3936348.220093582,65
24,904,3936348.220191205,65
27,144,3936348.220282687,65
35,812,3936348.221733934,65
34,1460,3936348.221831026,65
43,799,3936348.221907438,65
46,934,3936348.221980160,65
37,1751,3936348.222067752,65
38,542,3936348.222136634,65
41,438,3936348.222221126,65
45,1592,3936348.222293588,65
47,1843,3936348.222364330,65
40,1526,3936348.222440332,65
44,1361,3936348.222517303,65
42,370,3936348.222584745,65
39,1105,3936348.222648967,65
36,1802,3936348.222716028,65
33,1842,3936348.222784410,65
32,495,3936348.222859142,65
63,1725,3936348.222930674,65
54,1733,3936348.222999636,65
50,1932,3936348.223087818,65
52,326,3936348.223157780,65
55,1326,3936348.223226321,65
59,1658,3936348.223290883,65
53,1968,3936348.223353785,65
58,1848,3936348.223417496,65
56,452,3936348.225262113,65
49,1035,3936348.225366295,65
60,1541,3936348.225443727,65
61,177,3936348.225514639,65
48,1637,3936348.225585211,65
51,403,3936348.225656983,65
62,891,3936348.225737195,65
57,1507,3936348.225804986,65
65,1535,3936348.225876048,65
66,1045,3936348.225941220,65
73,1859,3936348.226036563,65
74,740,3936348.226111394,65
75,426,3936348.226181926,65
67,1469,3936348.226247428,65
78,757,3936348.226331490,65
72,289,3936348.226404392,65
76,366,3936348.226478683,65
70,197,3936348.226554656,65
77,1133,3936348.226627787,65
68,1058,3936348.226697649,65
79,1059,3936348.226765261,65
64,89,3936348.226834483,65
71,575,3936348.226904784,65
69,1254,3936348.226971346,65
89,1244,3936348.227057878,65
81,1782,3936348.227154461,65
91,994,3936348.227225973,65
94,469,3936348.227293084,65
95,837,3936348.227357646,65
86,879,3936348.227420987,65
80,1483,3936348.227482279,65
83,1956,3936348.227546981,65
84,1087,3936348.227607472,65
82,2035,3936348.227675614,65
87,561,3936348.227741966,65
92,588,3936348.227808797,65
93,1885,3936348.227876409,65
85,912,3936348.227938671,65
90,1216,3936348.228014792,65
88,416,3936348.228104804,65
105,346,3936348.229790967,65
104,790,3936348.229889680,65
107,2027,3936348.229964851,65
99,613,3936348.230051074,65
97,871,3936348.230124006,65
108,1554,3936348.230206357,65
110,1828,3936348.230275629,65
98,1823,3936348.230342441,65
103,785,3936348.230406453,65
106,800,3936348.230473094,65
109,1408,3936348.230535156,65
111,466,3936348.230608728,65
100,1566,3936348.230678080,65
102,429,3936348.230742581,65
101,1212,3936348.230806003,65
96,1346,3936348.230869424,65
120,1636,3936348.230933916,65
112,1422,3936348.230997188,65
113,1410,3936348.231074839,65
117,970,3936348.231142221,65
119,1275,3936348.231206853,65
126,217,3936348.231268835,65
115,1245,3936348.231334376,65
116,920,3936348.231395958,65
121,741,3936348.231473680,65
124,1617,3936348.231537821,65
125,481,3936348.231602883,65
123,154,3936348.231667114,65
118,1447,3936348.231734696,65
114,1090,3936348.231798848,65
122,1449,3936348.231871079,65
0,1286,3936349.226280198,129
15,107,3936349.227109699,129
1,2025,3936349.227240313,129
2,926,3936349.227346225,129
6,1641,3936349.227442318,129
7,1996,3936349.227534370,129
11,1095,3936349.227620442,129
10,541,3936349.227706325,129
14,1761,3936349.227789577,129
3,1874,3936349.227872289,129
8,415,3936349.227956931,129
4,895,3936349.228063343,129
9,1029,3936349.228156466,129
12,140,3936349.228526525,129
13,1582,3936349.228631328,129
5,1550,3936349.228716940,129
20,1306,3936349.229598682,129
18,359,3936349.229717085,129
21,1596,3936349.229828288,129
16,1486,3936349.229919620,129
30,602,3936349.230025463,129
17,394,3936349.230124226,129
22,104,3936349.230215808,129
31,477,3936349.230303410,129
29,209,3936349.230391622,129
28,835,3936349.230480004,129
19,1056,3936349.230561577,129
26,6,3936349.230656109,129
25,1152,3936349.230743731,129
23,993,3936349.230828973,129
24,904,3936349.230914275,129
27,144,3936349.230992937,129
35,812,3936349.231927661,129
34,1460,3936349.232065795,129
43,799,3936349.232174967,129
46,934,3936349.232272480,129
37,1751,3936349.232366992,129
38,542,3936349.232453954,129
41,438,3936349.232547067,129
45,1592,3936349.232632719,129
47,1843,3936349.232719621,129
40,1526,3936349.232802523,129
44,1361,3936349.232885615,129
42,370,3936349.232968007,129
39,1105,3936349.233069860,129
36,1802,3936349.233156292,129
33,1842,3936349.233234544,129
32,495,3936349.233321076,129
63,1725,3936349.234476645,129
54,1733,3936349.234580128,129
50,1932,3936349.234668820,129
52,326,3936349.234761383,129
55,1326,3936349.234844215,129
59,1658,3936349.234925497,129
53,1968,3936349.235021579,129
58,1848,3936349.235107141,129
56,452,3936349.235188273,129
49,1035,3936349.235268685,129
60,1541,3936349.235346707,129
61,177,3936349.235422309,129
48,1637,3936349.235499491,129
51,403,3936349.235577463,129
62,891,3936349.235661975,129
57,1507,3936349.235742657,129
65,1535,3936349.235822489,129
66,1045,3936349.235907332,129
73,1859,3936349.235985554,129
74,740,3936349.236092026,129
75,426,3936349.236172828,129
