request_id,dataset_index,timestamp_s,decoded_tokens
0,1981,3933485.915327356,1
4,147,3933486.093966793,1
3,300,3933486.094553697,1
7,939,3933486.094675780,1
9,1901,3933486.094772953,1
11,504,3933486.094846265,1
12,824,3933486.095435430,1
13,1503,3933486.095507021,1
15,435,3933486.095566703,1
16,1084,3933486.095626224,1
14,1791,3933486.095679336,1
1,1282,3933486.095731117,1
5,1462,3933486.095779638,1
6,473,3933486.095827969,1
8,845,3933486.095874970,1
2,1958,3933486.095925131,1
10,1356,3933486.095977213,1
20,1230,3933486.096311001,1
21,1772,3933486.096374183,1
19,1773,3933486.096433084,1
18,1108,3933486.096484105,1
17,1102,3933486.096536497,1
29,1686,3933486.256806670,1
24,323,3933486.257377754,1
36,1530,3933486.257522528,1
27,1392,3933486.257663091,1
34,1375,3933486.258900492,1
28,681,3933486.259025725,1
33,647,3933486.259101857,1
25,1023,3933486.259176399,1
22,884,3933486.259240960,1
30,555,3933486.259311402,1
35,354,3933486.259376324,1
23,1500,3933486.259437385,1
37,2046,3933486.259496867,1
32,679,3933486.259554798,1
31,933,3933486.259615170,1
26,1988,3933486.259673931,1
47,1318,3933486.260481941,1
46,162,3933486.260565953,1
39,1765,3933486.260636745,1
44,654,3933486.260703126,1
49,1283,3933486.260763228,1
42,1633,3933486.260820149,1
50,288,3933486.260876261,1
48,1177,3933486.260930772,1
43,863,3933486.260991804,1
40,2012,3933486.261065345,1
45,749,3933486.261123657,1
38,1266,3933486.261364173,1
41,518,3933486.261440284,1
61,0,3933486.415305629,1
66,1625,3933486.415794862,1
58,1509,3933486.415966746,1
63,898,3933486.416160231,1
52,1959,3933486.417155455,1
54,1264,3933486.417248057,1
59,1556,3933486.417320239,1
64,286,3933486.417394051,1
62,1653,3933486.417463033,1
51,2031,3933486.417526504,1
57,1382,3933486.417587536,1
53,411,3933486.417646017,1
60,1608,3933486.417700489,1
65,1718,3933486.417759290,1
55,1626,3933486.417826252,1
56,353,3933486.418491918,1
73,1192,3933486.418574540,1
74,1354,3933486.418639562,1
71,899,3933486.418700464,1
69,1945,3933486.418760525,1
70,996,3933486.418832667,1
75,299,3933486.418897478,1
72,31,3933486.418955970,1
68,632,3933486.419029662,1
67,462,3933486.419091833,1
78,128,3933486.576992308,1
80,23,3933486.577651664,1
85,660,3933486.577799938,1
87,2019,3933486.577921501,1
88,1966,3933486.578057634,1
79,1624,3933486.579177532,1
90,470,3933486.579310045,1
91,942,3933486.579414468,1
82,1516,3933486.579520330,1
86,42,3933486.579640243,1
89,1281,3933486.579757536,1
83,1605,3933486.579846629,1
81,1155,3933486.579922480,1
77,327,3933486.579994562,1
84,1180,3933486.580087124,1
76,1927,3933486.580149636,1
103,968,3933486.580564496,1
95,725,3933486.580647758,1
92,1210,3933486.580712220,1
99,149,3933486.581506319,1
94,1756,3933486.581585532,1
102,1209,3933486.581654013,1
97,1268,3933486.581718495,1
100,750,3933486.581774086,1
106,474,3933486.581837388,1
98,312,3933486.581892049,1
93,126,3933486.581946670,1
107,73,3933486.582022302,1
105,448,3933486.582089504,1
96,823,3933486.582148046,1
101,304,3933486.582204187,1
104,1975,3933486.582266288,1
108,1944,3933486.582323000,1
118,1701,3933486.657168621,1
112,1417,3933486.657730024,1
111,943,3933486.657870478,1
120,1920,3933486.657951390,1
117,936,3933486.658040162,1
124,913,3933486.658702519,1
109,284,3933486.658785431,1
113,1979,3933486.658855342,1
114,850,3933486.658947435,1
121,275,3933486.659072678,1
115,2009,3933486.659182731,1
119,733,3933486.661625741,1
116,1041,3933486.661708883,1
122,1477,3933486.661773484,1
110,1048,3933486.661836136,1
123,1007,3933486.661896167,1
125,2005,3933486.662204335,1
126,1586,3933486.662281667,1
4,147,3933487.142167095,65
0,1981,3933487.142807940,65
3,300,3933487.142973624,65
7,939,3933487.143164269,65
9,1901,3933487.143307863,65
11,504,3933487.144373609,65
12,824,3933487.144526673,65
13,1503,3933487.144657396,65
15,435,3933487.144820030,65
14,1791,3933487.144970964,65
1,1282,3933487.145127338,65
5,1462,3933487.145262761,65
6,473,3933487.145390274,65
8,845,3933487.145525398,65
2,1958,3933487.145668931,65
10,1356,3933487.145803925,65
20,1230,3933487.146426870,65
29,1686,3933487.146580734,65
24,323,3933487.146723877,65
21,1772,3933487.146854531,65
27,1392,3933487.148069380,65
28,681,3933487.148227714,65
25,1023,3933487.148367108,65
22,884,3933487.148489421,65
19,1773,3933487.148617864,65
30,555,3933487.148760178,65
18,1108,3933487.148879121,65
16,1084,3933487.148998853,65
17,1102,3933487.149142517,65
23,1500,3933487.149267490,65
31,933,3933487.149451335,65
26,1988,3933487.149594208,65
47,1318,3933487.151166077,65
46,162,3933487.151322561,65
36,1530,3933487.151451144,65
34,1375,3933487.151581017,65
39,1765,3933487.151723561,65
44,654,3933487.151865174,65
33,647,3933487.151990598,65
42,1633,3933487.152144691,65
35,354,3933487.152274665,65
43,863,3933487.152406038,65
37,2046,3933487.152530141,65
32,679,3933487.152658654,65
38,1266,3933487.152796717,65
40,2012,3933487.152911810,65
41,518,3933487.153061014,65
45,749,3933487.153191087,65
55,1626,3933487.154921810,65
61,0,3933487.155104344,65
58,1509,3933487.155230918,65
63,898,3933487.155358031,65
52,1959,3933487.155491114,65
54,1264,3933487.155613637,65
59,1556,3933487.155743170,65
49,1283,3933487.155869053,65
62,1653,3933487.155986106,65
51,2031,3933487.156133850,65
50,288,3933487.156260283,65
57,1382,3933487.156386776,65
53,411,3933487.156510449,65
60,1608,3933487.156639022,65
48,1177,3933487.156780286,65
56,353,3933487.156906959,65
78,128,3933487.157069263,65
66,1625,3933487.157205536,65
73,1192,3933487.159644757,65
74,1354,3933487.159772270,65
69,1945,3933487.159854512,65
71,899,3933487.159927274,65
79,1624,3933487.159996945,65
64,286,3933487.160087158,65
70,996,3933487.160154939,65
77,327,3933487.160224871,65
65,1718,3933487.160290623,65
76,1927,3933487.160355494,65
75,299,3933487.160424896,65
72,31,3933487.160493178,65
68,632,3933487.160560109,65
67,462,3933487.160624031,65
87,2019,3933487.160687502,65
80,23,3933487.160766284,65
85,660,3933487.160837666,65
88,1966,3933487.160919278,65
90,470,3933487.160989760,65
91,942,3933487.161075722,65
92,1210,3933487.161148614,65
94,1756,3933487.161218526,65
82,1516,3933487.161283237,65
95,725,3933487.161348359,65
86,42,3933487.161417240,65
89,1281,3933487.161482542,65
93,126,3933487.161555224,65
83,1605,3933487.161621565,65
84,1180,3933487.161685097,65
81,1155,3933487.161746359,65
103,968,3933487.163323048,65
111,943,3933487.163427330,65
99,149,3933487.163504522,65
102,1209,3933487.163573534,65
97,1268,3933487.163638995,65
100,750,3933487.163707147,65
106,474,3933487.163770139,65
109,284,3933487.163844620,65
98,312,3933487.163906722,65
107,73,3933487.163970594,65
105,448,3933487.164051156,65
96,823,3933487.164130268,65
101,304,3933487.164220940,65
110,1048,3933487.164290851,65
104,1975,3933487.164354183,65
108,1944,3933487.164418585,65
118,1701,3933487.164481746,65
125,2005,3933487.164543458,65
112,1417,3933487.164604889,65
120,1920,3933487.164670811,65
117,936,3933487.164731473,65
