request_id,dataset_index,timestamp_s,decoded_tokens
0,1981,3933486.072639336,1
11,504,3933486.242906486,1
12,824,3933486.243416369,1
15,435,3933486.243508001,1
16,1084,3933486.243579423,1
3,300,3933486.243646244,1
8,845,3933486.243716566,1
6,473,3933486.243783808,1
14,1791,3933486.244372242,1
5,1462,3933486.244467865,1
7,939,3933486.244531097,1
2,1958,3933486.244590888,1
4,147,3933486.244649799,1
10,1356,3933486.244705771,1
9,1901,3933486.244767242,1
1,1282,3933486.244824014,1
13,1503,3933486.244891165,1
20,1230,3933486.245282265,1
17,1102,3933486.245364617,1
19,1773,3933486.245427148,1
18,1108,3933486.245483400,1
21,1772,3933486.245538791,1
24,323,3933486.411447544,1
34,1375,3933486.411875855,1
22,884,3933486.411966177,1
32,679,3933486.412097620,1
30,555,3933486.412167412,1
26,1988,3933486.412230873,1
23,1500,3933486.412805728,1
33,647,3933486.412895060,1
28,681,3933486.412989882,1
27,1392,3933486.413071824,1
35,354,3933486.413130766,1
37,2046,3933486.413187997,1
25,1023,3933486.413247338,1
31,933,3933486.413303640,1
29,1686,3933486.413359541,1
36,1530,3933486.413422433,1
46,162,3933486.414230383,1
42,1633,3933486.414337316,1
39,1765,3933486.414403427,1
43,863,3933486.414463109,1
40,2012,3933486.414519460,1
45,749,3933486.414573731,1
47,1318,3933486.414628793,1
48,1177,3933486.414682794,1
41,518,3933486.414740766,1
38,1266,3933486.414797197,1
50,288,3933486.414852578,1
49,1283,3933486.414906530,1
44,654,3933486.414959961,1
54,1264,3933486.573124132,1
66,1625,3933486.573525212,1
61,0,3933486.573609924,1
60,1608,3933486.573678236,1
53,411,3933486.573748258,1
64,286,3933486.573810629,1
59,1556,3933486.574427004,1
51,2031,3933486.574509137,1
56,353,3933486.574575528,1
58,1509,3933486.574642790,1
55,1626,3933486.574700431,1
65,1718,3933486.574756692,1
57,1382,3933486.574811384,1
52,1959,3933486.574867065,1
62,1653,3933486.574925697,1
63,898,3933486.574996229,1
67,462,3933486.575580103,1
69,1945,3933486.575662415,1
75,299,3933486.575727247,1
74,1354,3933486.575784838,1
70,996,3933486.575838389,1
68,632,3933486.575893021,1
73,1192,3933486.575953862,1
71,899,3933486.576034404,1
72,31,3933486.576095926,1
78,128,3933486.735523218,1
89,1281,3933486.735910348,1
81,1155,3933486.735989590,1
80,23,3933486.736109743,1
83,1605,3933486.736189285,1
85,660,3933486.736253336,1
79,1624,3933486.736844071,1
84,1180,3933486.736921023,1
88,1966,3933486.736979134,1
90,470,3933486.737069097,1
76,1927,3933486.737136288,1
91,942,3933486.737205160,1
86,42,3933486.737263871,1
77,327,3933486.737319733,1
82,1516,3933486.737375634,1
87,2019,3933486.737429285,1
94,1756,3933486.738196244,1
98,312,3933486.738280987,1
96,823,3933486.738339088,1
101,304,3933486.738394579,1
102,1209,3933486.738448351,1
104,1975,3933486.738506032,1
106,474,3933486.738567363,1
107,73,3933486.738623355,1
103,968,3933486.738676336,1
95,725,3933486.738736208,1
105,448,3933486.738797549,1
93,126,3933486.738852911,1
99,149,3933486.739199689,1
92,1210,3933486.739282441,1
97,1268,3933486.739343083,1
100,750,3933486.739399974,1
121,275,3933486.817248169,1
112,1417,3933486.817679490,1
118,1701,3933486.817761272,1
122,1477,3933486.817825843,1
117,936,3933486.817894015,1
114,850,3933486.817953537,1
109,284,3933486.818561622,1
110,1048,3933486.818639474,1
113,1979,3933486.818699215,1
115,2009,3933486.818762717,1
111,943,3933486.818827828,1
119,733,3933486.818889760,1
116,1041,3933486.818947911,1
108,1944,3933486.819026843,1
123,1007,3933486.819091225,1
120,1920,3933486.819156856,1
124,913,3933486.821403802,1
126,1586,3933486.821492284,1
125,2005,3933486.821553836,1
11,504,3933487.371412354,65
12,824,3933487.371986208,65
15,435,3933487.372152842,65
3,300,3933487.372239194,65
8,845,3933487.372318556,65
6,473,3933487.372404298,65
14,1791,3933487.372473580,65
5,1462,3933487.372544542,65
7,939,3933487.372628854,65
0,1981,3933487.373184148,65
2,1958,3933487.373279760,65
4,147,3933487.373360742,65
10,1356,3933487.373431964,65
9,1901,3933487.373507205,65
1,1282,3933487.373576527,65
13,1503,3933487.373644369,65
20,1230,3933487.374490310,65
24,323,3933487.374582882,65
17,1102,3933487.374658454,65
19,1773,3933487.374728236,65
22,884,3933487.374799537,65
30,555,3933487.374871449,65
26,1988,3933487.374937471,65
18,1108,3933487.375019393,65
23,1500,3933487.375092485,65
28,681,3933487.375175627,65
27,1392,3933487.375257699,65
29,1686,3933487.375328721,65
21,1772,3933487.375392692,65
25,1023,3933487.375459074,65
31,933,3933487.375535676,65
16,1084,3933487.375601427,65
46,162,3933487.376649933,65
34,1375,3933487.376757216,65
42,1633,3933487.376832848,65
32,679,3933487.376903220,65
39,1765,3933487.376970351,65
43,863,3933487.377061423,65
40,2012,3933487.377137575,65
44,654,3933487.377218997,65
45,749,3933487.377289999,65
47,1318,3933487.377357871,65
33,647,3933487.377431593,65
38,1266,3933487.377501944,65
41,518,3933487.377574096,65
35,354,3933487.377640458,65
37,2046,3933487.377707049,65
36,1530,3933487.377772771,65
54,1264,3933487.378826717,65
61,0,3933487.378917179,65
60,1608,3933487.378988041,65
53,411,3933487.379074653,65
59,1556,3933487.379143355,65
51,2031,3933487.379210337,65
56,353,3933487.379274088,65
48,1177,3933487.379338560,65
50,288,3933487.379400771,65
58,1509,3933487.379472253,65
55,1626,3933487.379536625,65
49,1283,3933487.379601216,65
57,1382,3933487.379666008,65
52,1959,3933487.379739450,65
62,1653,3933487.379805541,65
63,898,3933487.379869363,65
67,462,3933487.379968205,65
66,1625,3933487.380056127,65
69,1945,3933487.380126139,65
75,299,3933487.380193391,65
78,128,3933487.381777820,65
79,1624,3933487.381869452,65
64,286,3933487.381943524,65
74,1354,3933487.382028406,65
70,996,3933487.382118038,65
76,1927,3933487.382194410,65
77,327,3933487.382263532,65
68,632,3933487.382331744,65
73,1192,3933487.382398476,65
71,899,3933487.382460867,65
65,1718,3933487.382526968,65
72,31,3933487.382590570,65
89,1281,3933487.382655762,65
94,1756,3933487.382720193,65
83,1605,3933487.382785865,65
81,1155,3933487.382862187,65
80,23,3933487.382928989,65
85,660,3933487.382993980,65
84,1180,3933487.383076232,65
88,1966,3933487.383142714,65
90,470,3933487.383207355,65
95,725,3933487.383278837,65
91,942,3933487.383347389,65
86,42,3933487.383413861,65
82,1516,3933487.383477672,65
87,2019,3933487.383540174,65
93,126,3933487.383616066,65
92,1210,3933487.383684137,65
101,304,3933487.385325998,65
98,312,3933487.385425810,65
96,823,3933487.385498192,65
102,1209,3933487.385565364,65
104,1975,3933487.385630635,65
106,474,3933487.385696327,65
107,73,3933487.385760839,65
103,968,3933487.385835880,65
109,284,3933487.385900872,65
110,1048,3933487.385966374,65
111,943,3933487.386047076,65
105,448,3933487.386115887,65
99,149,3933487.386178819,65
108,1944,3933487.386245760,65
97,1268,3933487.386308842,65
100,750,3933487.386377944,65
121,275,3933487.386444225,65
112,1417,3933487.386509127,65
118,1701,3933487.386571359,65
122,1477,3933487.386633490,65
117,936,3933487.386708932,65
114,850,3933487.386777284,65
125,2005,3933487.386844115,65
126,1586,3933487.386906007,65
113,1979,3933487.386968729,65
115,2009,3933487.387060891,65
124,913,3933487.387152343,65
119,733,3933487.387223405,65
116,1041,3933487.387287446,65
123,1007,3933487.387360418,65
120,1920,3933487.387423430,65
11,504,3933487.932740675,129
12,824,3933487.933345260,129
15,435,3933487.933466993,129
3,300,3933487.933561756,129
8,845,3933487.933645578,129
6,473,3933487.933727530,129
14,1791,3933487.933803022,129
5,1462,3933487.933881603,129
7,939,3933487.934443877,129
0,1981,3933487.934548630,129
2,1958,3933487.934633652,129
4,147,3933487.934719954,129
10,1356,3933487.934798986,129
9,1901,3933487.934874178,129
1,1282,3933487.934949110,129
13,1503,3933487.935044592,129
20,1230,3933487.935906654,129
24,323,3933487.936027437,129
17,1102,3933487.936121059,129
19,1773,3933487.936203201,129
22,884,3933487.936280813,129
30,555,3933487.936364975,129
26,1988,3933487.936445077,129
18,1108,3933487.936521189,129
23,1500,3933487.936597351,129
28,681,3933487.936675753,129
27,1392,3933487.936761015,129
29,1686,3933487.936841237,129
21,1772,3933487.936932709,129
25,1023,3933487.937029612,129
31,933,3933487.937126014,129
16,1084,3933487.937207346,129
46,162,3933487.938115438,129
34,1375,3933487.938221401,129
42,1633,3933487.938305023,129
32,679,3933487.938386645,129
39,1765,3933487.938466777,129
43,863,3933487.938548079,129
40,2012,3933487.938626821,129
44,654,3933487.938705803,129
45,749,3933487.938782765,129
47,1318,3933487.938859907,129
33,647,3933487.938936348,129
38,1266,3933487.939028951,129
41,518,3933487.939111853,129
35,354,3933487.939188915,129
37,2046,3933487.939262617,129
36,1530,3933487.939337169,129
54,1264,3933487.940253011,129
61,0,3933487.940351794,129
60,1608,3933487.940429976,129
53,411,3933487.940506787,129
59,1556,3933487.940582489,129
51,2031,3933487.940657091,129
56,353,3933487.940731033,129
48,1177,3933487.940803435,129
50,288,3933487.940875717,129
58,1509,3933487.940950638,129
55,1626,3933487.941038921,129
49,1283,3933487.941117142,129
57,1382,3933487.941190575,129
52,1959,3933487.941264116,129
62,1653,3933487.941342658,129
63,898,3933487.941418430,129
67,462,3933487.942975248,129
66,1625,3933487.943086621,129
69,1945,3933487.943166413,129
75,299,3933487.943244525,129
78,128,3933487.943334477,129
79,1624,3933487.943417550,129
64,286,3933487.943497381,129
74,1354,3933487.943572153,129
70,996,3933487.943660365,129
76,1927,3933487.943739818,129
77,327,3933487.943819220,129
68,632,3933487.943897261,129
73,1192,3933487.943971963,129
71,899,3933487.944064306,129
65,1718,3933487.944152768,129
72,31,3933487.944226290,129
89,1281,3933487.944302641,129
94,1756,3933487.944378093,129
83,1605,3933487.944453925,129
81,1155,3933487.944530097,129
80,23,3933487.944606809,129
85,660,3933487.944681671,129
84,1180,3933487.944753523,129
88,1966,3933487.944847485,129
90,470,3933487.944921247,129
95,725,3933487.944999658,129
91,942,3933487.945100601,129
86,42,3933487.945178103,129
82,1516,3933487.945251535,129
87,2019,3933487.945322326,129
93,126,3933487.945413299,129
92,1210,3933487.945488941,129
101,304,3933487.947172312,129
98,312,3933487.947278275,129
96,823,3933487.947364307,129
102,1209,3933487.947444409,129
104,1975,3933487.947523661,129
106,474,3933487.947601373,129
107,73,3933487.947677685,129
103,968,3933487.947755997,129
109,284,3933487.947833769,129
110,1048,3933487.947911501,129
111,943,3933487.947985612,129
105,448,3933487.948092775,129
99,149,3933487.948174327,129
108,1944,3933487.948249859,129
97,1268,3933487.948329201,129
100,750,3933487.948412393,129
121,275,3933487.948493485,129
112,1417,3933487.948569807,129
118,1701,3933487.948643399,129
122,1477,3933487.948717881,129
117,936,3933487.948797603,129
114,850,3933487.948872604,129
125,2005,3933487.948944236,129
126,1586,3933487.949033008,129
113,1979,3933487.949112350,129
115,2009,3933487.949188162,129
124,913,3933487.949273454,129
119,733,3933487.949351536,129
116,1041,3933487.949427178,129
123,1007,3933487.949512120,129
120,1920,3933487.949589882,129
119,733,3933488.305386771,174
127,302,3933488.351420000,1
11,504,3933488.520992783,193
12,824,3933488.521450505,193
15,435,3933488.521570257,193
3,300,3933488.521670550,193
8,845,3933488.521768042,193
6,473,3933488.522459799,193
14,1791,3933488.522570962,193
5,1462,3933488.522666675,193
7,939,3933488.522774797,193
0,1981,3933488.522873550,193
2,1958,3933488.522966202,193
4,147,3933488.523087565,193
10,1356,3933488.523180757,193
9,1901,3933488.523268299,193
1,1282,3933488.523356012,193
13,1503,3933488.523445544,193
20,1230,3933488.523829324,193
24,323,3933488.523939196,193
17,1102,3933488.524051159,193
19,1773,3933488.524147811,193
22,884,3933488.524857549,193
30,555,3933488.524968902,193
26,1988,3933488.525080384,193
18,1108,3933488.525169907,193
23,1500,3933488.525258809,193
28,681,3933488.525347481,193
27,1392,3933488.525441343,193
29,1686,3933488.525530595,193
21,1772,3933488.525628508,193
25,1023,3933488.525719250,193
31,933,3933488.525816933,193
16,1084,3933488.525901925,193
46,162,3933488.526827438,193
34,1375,3933488.526944170,193
42,1633,3933488.527057093,193
32,679,3933488.527153536,193
39,1765,3933488.527247348,193
43,863,3933488.527337440,193
40,2012,3933488.527426862,193
44,654,3933488.527519005,193
45,749,3933488.527608427,193
47,1318,3933488.527695119,193
33,647,3933488.527779781,193
38,1266,3933488.527863243,193
