request_id,dataset_index,timestamp_s,decoded_tokens
0,1300,3933018.622655945,1
4,779,3933018.992352101,1
13,478,3933018.992914235,1
7,1518,3933018.993065169,1
3,1936,3933018.993142560,1
9,1731,3933018.993206502,1
11,1517,3933018.993268494,1
6,1722,3933018.993333045,1
10,1052,3933018.993399177,1
16,768,3933018.993461898,1
2,185,3933018.993945910,1
8,419,3933018.994041592,1
15,1227,3933018.994104614,1
14,983,3933018.994162815,1
5,1081,3933018.994236107,1
12,580,3933018.994322419,1
1,1064,3933018.994389661,1
17,614,3933018.994446002,1
24,313,3933019.049050232,1
22,836,3933019.049269017,1
30,774,3933019.049319548,1
26,780,3933019.049358769,1
33,676,3933019.049399210,1
28,54,3933019.049742249,1
31,1759,3933019.049789780,1
21,81,3933019.049826151,1
20,976,3933019.049861822,1
25,1207,3933019.049896212,1
27,2018,3933019.049929863,1
23,75,3933019.049963834,1
32,137,3933019.049996955,1
18,618,3933019.050048106,1
29,62,3933019.050085627,1
19,38,3933019.050122818,1
43,767,3933019.050694582,1
42,88,3933019.050740583,1
37,1717,3933019.050776924,1
48,506,3933019.050811774,1
45,1204,3933019.050850246,1
34,1924,3933019.050883096,1
41,13,3933019.050915757,1
40,422,3933019.050947338,1
46,571,3933019.050979829,1
47,1852,3933019.051031020,1
49,1170,3933019.051072161,1
44,600,3933019.051105232,1
38,206,3933019.051136962,1
39,592,3933019.051168843,1
36,849,3933019.051200184,1
35,1304,3933019.051230505,1
52,971,3933019.051529712,1
55,1882,3933019.051579393,1
56,94,3933019.051614274,1
53,924,3933019.051647025,1
54,598,3933019.051677406,1
50,5,3933019.051708666,1
51,176,3933019.051738307,1
58,832,3933019.203507336,1
71,182,3933019.203783652,1
69,1611,3933019.203834073,1
62,516,3933019.203892555,1
61,590,3933019.203932676,1
68,1231,3933019.203967197,1
72,1693,3933019.204030888,1
67,659,3933019.204345466,1
70,390,3933019.204392997,1
64,842,3933019.204429358,1
57,1994,3933019.204464339,1
63,27,3933019.204498510,1
66,1482,3933019.204530461,1
60,742,3933019.204572402,1
65,1866,3933019.204610302,1
59,116,3933019.204643333,1
81,682,3933019.205059733,1
86,1248,3933019.205106214,1
77,1365,3933019.205142915,1
78,1413,3933019.205175366,1
88,748,3933019.205212467,1
75,909,3933019.205245438,1
85,1707,3933019.205277648,1
80,792,3933019.205307499,1
87,47,3933019.205338330,1
83,753,3933019.205372921,1
82,1443,3933019.205408812,1
84,173,3933019.205442363,1
76,692,3933019.205731999,1
74,615,3933019.205777840,1
73,1670,3933019.205815452,1
79,1123,3933019.205848942,1
91,867,3933019.205884953,1
89,358,3933019.205918294,1
90,520,3933019.205949985,1
101,1495,3933019.360220964,1
103,112,3933019.360494651,1
97,259,3933019.360542732,1
96,17,3933019.360578382,1
93,7,3933019.360618114,1
104,1563,3933019.360652344,1
100,485,3933019.360686085,1
92,1847,3933019.361040644,1
105,607,3933019.361089255,1
99,1511,3933019.361124416,1
102,2028,3933019.361164657,1
95,1431,3933019.361201998,1
94,497,3933019.361237418,1
107,142,3933019.361270329,1
98,841,3933019.361305490,1
106,1344,3933019.361336651,1
110,1234,3933019.361713140,1
114,1999,3933019.361761531,1
112,1272,3933019.361795232,1
116,1699,3933019.361828143,1
108,693,3933019.361860793,1
113,2042,3933019.361891594,1
117,975,3933019.361923595,1
111,972,3933019.361961396,1
118,169,3933019.361995147,1
115,1329,3933019.362045818,1
109,670,3933019.362080959,1
121,1047,3933019.374565901,1
124,576,3933019.374977530,1
122,572,3933019.376852916,1
119,1642,3933019.376910087,1
125,866,3933019.376955189,1
123,266,3933019.376995330,1
126,803,3933019.377046001,1
120,1313,3933019.377079212,1
4,779,3933019.873868841,65
13,478,3933019.874289241,65
7,1518,3933019.874356692,65
3,1936,3933019.874408723,65
9,1731,3933019.874452395,65
11,1517,3933019.874502906,65
6,1722,3933019.874546067,65
10,1052,3933019.874588068,65
0,1300,3933019.874629949,65
2,185,3933019.874675530,65
8,419,3933019.874959427,65
15,1227,3933019.875030329,65
14,983,3933019.875080340,65
5,1081,3933019.875122131,65
12,580,3933019.875167642,65
1,1064,3933019.875211363,65
24,313,3933019.875696465,65
22,836,3933019.875751246,65
30,774,3933019.875804327,65
16,768,3933019.875851718,65
26,780,3933019.875894230,65
17,614,3933019.875937371,65
28,54,3933019.875977372,65
31,1759,3933019.876031833,65
21,81,3933019.876073354,65
20,976,3933019.876127155,65
25,1207,3933019.876171236,65
27,2018,3933019.876213627,65
23,75,3933019.876260599,65
18,618,3933019.876305089,65
29,62,3933019.876350561,65
19,38,3933019.876393272,65
43,767,3933019.876883934,65
42,88,3933019.876940625,65
37,1717,3933019.876983966,65
