request_id,dataset_index,timestamp_s,decoded_tokens
0,1300,3933018.548885682,1
8,419,3933018.972630655,1
12,580,3933018.973308401,1
15,1227,3933018.973408023,1
14,983,3933018.973479815,1
10,1052,3933018.973543617,1
9,1731,3933018.973614838,1
5,1081,3933018.973682120,1
1,1064,3933018.973750082,1
4,779,3933018.974338556,1
2,185,3933018.974420918,1
11,1517,3933018.974495170,1
16,768,3933018.974554671,1
6,1722,3933018.974613872,1
13,478,3933018.974675024,1
7,1518,3933018.974730325,1
3,1936,3933018.974796557,1
17,614,3933018.974854708,1
23,75,3933019.045367943,1
30,774,3933019.045668710,1
24,313,3933019.045725462,1
19,38,3933019.045765412,1
26,780,3933019.045801213,1
32,137,3933019.045838154,1
20,976,3933019.045878865,1
29,62,3933019.046259664,1
25,1207,3933019.046310336,1
27,2018,3933019.046352207,1
31,1759,3933019.046394848,1
18,618,3933019.046434079,1
21,81,3933019.046469949,1
28,54,3933019.046504130,1
33,676,3933019.046544281,1
22,836,3933019.046578442,1
49,1170,3933019.047040393,1
47,1852,3933019.047089235,1
38,206,3933019.047126816,1
44,600,3933019.047160736,1
34,1924,3933019.047193077,1
41,13,3933019.047224638,1
39,592,3933019.047261749,1
45,1204,3933019.047295889,1
48,506,3933019.047328380,1
35,1304,3933019.047360491,1
36,849,3933019.047391722,1
42,88,3933019.047780931,1
43,767,3933019.047825892,1
46,571,3933019.047862053,1
37,1717,3933019.047903764,1
40,422,3933019.047940965,1
54,598,3933019.047975666,1
56,94,3933019.048022897,1
53,924,3933019.048059658,1
50,5,3933019.048110889,1
55,1882,3933019.048147550,1
52,971,3933019.048180641,1
51,176,3933019.048211332,1
69,1611,3933019.186673019,1
59,116,3933019.186991146,1
57,1994,3933019.187082319,1
72,1693,3933019.187123689,1
65,1866,3933019.187166471,1
68,1231,3933019.187200742,1
60,742,3933019.187234702,1
62,516,3933019.187268473,1
61,590,3933019.187586681,1
66,1482,3933019.187637592,1
58,832,3933019.187678533,1
64,842,3933019.187718514,1
71,182,3933019.187754825,1
67,659,3933019.187790266,1
70,390,3933019.187823206,1
63,27,3933019.187861678,1
77,1365,3933019.188373620,1
81,682,3933019.188420281,1
76,692,3933019.188457092,1
79,1123,3933019.188489623,1
80,792,3933019.188521103,1
82,1443,3933019.188551924,1
78,1413,3933019.188590585,1
83,753,3933019.188622966,1
85,1707,3933019.188654097,1
84,173,3933019.188690967,1
73,1670,3933019.188727888,1
87,47,3933019.188765059,1
86,1248,3933019.188799510,1
75,909,3933019.188830491,1
88,748,3933019.188863032,1
74,615,3933019.188894032,1
89,358,3933019.189074477,1
90,520,3933019.189117108,1
97,259,3933019.344923024,1
94,497,3933019.345278203,1
98,841,3933019.345331824,1
92,1847,3933019.345373095,1
100,485,3933019.345409226,1
95,1431,3933019.345444607,1
