request_id,dataset_index,timestamp_s,decoded_tokens
0,1286,3934064.320962752,1
3,1874,3934064.509736628,1
9,1029,3934064.510246381,1
10,541,3934064.510345374,1
15,107,3934064.510421976,1
7,1996,3934064.510492397,1
5,1550,3934064.510557679,1
4,895,3934064.511256296,1
6,1641,3934064.511342628,1
11,1095,3934064.511431281,1
2,926,3934064.511506243,1
14,1761,3934064.511577984,1
8,415,3934064.511641246,1
16,1486,3934064.511700728,1
1,2025,3934064.511765619,1
13,1582,3934064.511827141,1
12,140,3934064.511891112,1
18,359,3934064.511952184,1
17,394,3934064.512171459,1
34,1460,3934064.685415047,1
33,1842,3934064.685744645,1
31,477,3934064.685819377,1
26,6,3934064.685876039,1
21,1596,3934064.685926640,1
29,209,3934064.686492764,1
25,1152,3934064.686561946,1
27,144,3934064.686614777,1
20,1306,3934064.686665118,1
30,602,3934064.686712449,1
32,495,3934064.686760091,1
22,104,3934064.686810752,1
28,835,3934064.686858513,1
23,993,3934064.686911754,1
19,1056,3934064.686960396,1
24,904,3934064.687020997,1
37,1751,3934064.687509899,1
43,799,3934064.687572751,1
44,1361,3934064.687623702,1
35,812,3934064.687667533,1
39,1105,3934064.687711005,1
38,542,3934064.687757326,1
36,1802,3934064.687799787,1
40,1526,3934064.687842158,1
46,934,3934064.688145275,1
47,1843,3934064.688203727,1
42,370,3934064.688248658,1
45,1592,3934064.688291989,1
41,438,3934064.688342040,1
59,1658,3934064.842891671,1
57,1507,3934064.843342332,1
54,1733,3934064.843432055,1
56,452,3934064.843500376,1
55,1326,3934064.843563168,1
62,891,3934064.844213814,1
52,326,3934064.844293626,1
51,403,3934064.844365078,1
49,1035,3934064.844428600,1
60,1541,3934064.844493651,1
58,1848,3934064.844553812,1
53,1968,3934064.844636014,1
48,1637,3934064.844704216,1
61,177,3934064.844763518,1
50,1932,3934064.844821569,1
63,1725,3934064.844878581,1
67,1469,3934064.845425184,1
65,1535,3934064.845502516,1
64,89,3934064.845571298,1
69,1254,3934064.845631939,1
71,575,3934064.845691211,1
66,1045,3934064.845747562,1
70,197,3934064.845800904,1
68,1058,3934064.845858525,1
83,1956,3934064.998305564,1
76,366,3934064.998653642,1
73,1859,3934064.998733374,1
81,1782,3934064.998797356,1
82,2035,3934064.998884388,1
75,426,3934064.999555035,1
86,879,3934064.999635297,1
77,1133,3934064.999707288,1
85,912,3934064.999768840,1
78,757,3934064.999824502,1
72,289,3934064.999878063,1
87,561,3934064.999936604,1
74,740,3934064.999999356,1
79,1059,3934065.000086448,1
80,1483,3934065.000145399,1
84,1087,3934065.000206511,1
97,871,3934065.000877768,1
91,994,3934065.000948580,1
90,1216,3934065.001019312,1
88,416,3934065.001085043,1
94,469,3934065.001141935,1
89,1244,3934065.001196666,1
95,837,3934065.001250537,1
92,588,3934065.001304259,1
93,1885,3934065.001355260,1
98,1823,3934065.001417521,1
96,1346,3934065.001473823,1
107,2027,3934065.118783873,1
108,1554,3934065.119374188,1
106,800,3934065.119464190,1
101,1212,3934065.119533982,1
110,1828,3934065.119597404,1
109,1408,3934065.119667115,1
114,1090,3934065.119726147,1
113,1410,3934065.119788548,1
105,346,3934065.120363683,1
104,790,3934065.120445865,1
99,613,3934065.120508097,1
111,466,3934065.120573378,1
103,785,3934065.120634049,1
100,1566,3934065.120692131,1
112,1422,3934065.120745732,1
102,429,3934065.120801984,1
119,1275,3934065.121517512,1
126,217,3934065.121602874,1
123,154,3934065.121666655,1
116,920,3934065.121725647,1
121,741,3934065.121785148,1
122,1449,3934065.121841440,1
115,1245,3934065.124559048,1
118,1447,3934065.124652060,1
120,1636,3934065.124711902,1
124,1617,3934065.124773673,1
125,481,3934065.124826704,1
117,970,3934065.124878356,1
3,1874,3934065.589354389,65
9,1029,3934065.589775000,65
10,541,3934065.589871272,65
15,107,3934065.589948594,65
7,1996,3934065.590074957,65
5,1550,3934065.590159789,65
4,895,3934065.590750484,65
6,1641,3934065.590841956,65
11,1095,3934065.590915198,65
