request_id,dataset_index,timestamp_s,decoded_tokens
0,1286,3934064.227723483,1
11,1095,3934064.422222072,1
3,1874,3934064.422530610,1
16,1486,3934064.422585651,1
2,926,3934064.422628622,1
12,140,3934064.422665313,1
9,1029,3934064.422705884,1
7,1996,3934064.422747965,1
15,107,3934064.423159685,1
14,1761,3934064.423208797,1
10,541,3934064.423248078,1
4,895,3934064.423285789,1
6,1641,3934064.423320309,1
8,415,3934064.423354280,1
5,1550,3934064.423391281,1
13,1582,3934064.423427392,1
1,2025,3934064.423471863,1
18,359,3934064.423520734,1
17,394,3934064.423556946,1
23,993,3934064.594752812,1
32,495,3934064.595057610,1
25,1152,3934064.595113991,1
20,1306,3934064.595155042,1
21,1596,3934064.595192333,1
26,6,3934064.595231374,1
31,477,3934064.595268165,1
22,104,3934064.595602904,1
28,835,3934064.595650865,1
33,1842,3934064.595691796,1
34,1460,3934064.595734337,1
19,1056,3934064.595771708,1
27,144,3934064.595809658,1
24,904,3934064.595846630,1
29,209,3934064.595881200,1
30,602,3934064.595913871,1
35,812,3934064.596389423,1
44,1361,3934064.596435694,1
42,370,3934064.596471425,1
45,1592,3934064.596503696,1
39,1105,3934064.596540237,1
46,934,3934064.596573378,1
38,542,3934064.596604198,1
36,1802,3934064.596636369,1
43,799,3934064.596666730,1
41,438,3934064.596698461,1
47,1843,3934064.596731512,1
40,1526,3934064.596767853,1
37,1751,3934064.596800003,1
49,1035,3934064.749865417,1
54,1733,3934064.750170825,1
62,891,3934064.750226046,1
48,1637,3934064.750266337,1
50,1932,3934064.750303088,1
57,1507,3934064.750339969,1
52,326,3934064.750385620,1
58,1848,3934064.750702218,1
59,1658,3934064.750747989,1
53,1968,3934064.750781780,1
51,403,3934064.750816031,1
56,452,3934064.750850782,1
61,177,3934064.750890203,1
55,1326,3934064.750923764,1
63,1725,3934064.750956934,1
60,1541,3934064.750988085,1
64,89,3934064.751297673,1
67,1469,3934064.751342914,1
70,197,3934064.751378885,1
69,1254,3934064.751418916,1
68,1058,3934064.751457267,1
71,575,3934064.751494828,1
65,1535,3934064.751528359,1
66,1045,3934064.751561449,1
76,366,3934064.907668169,1
87,561,3934064.907900255,1
73,1859,3934064.907950416,1
81,1782,3934064.907989147,1
84,1087,3934064.908064829,1
79,1059,3934064.908102490,1
74,740,3934064.908451419,1
86,879,3934064.908496630,1
