request_id,dataset_index,timestamp_s,decoded_tokens
0,424,3899419.733625818,1
6,424,3899419.844693969,1
2,424,3899419.845385186,1
16,424,3899419.845484189,1
4,424,3899419.845554750,1
11,424,3899419.845622742,1
3,424,3899419.845686994,1
5,424,3899419.845749205,1
7,424,3899419.845817847,1
10,424,3899419.846475814,1
1,424,3899419.846582286,1
13,424,3899419.846654318,1
9,424,3899419.846729360,1
12,424,3899419.846800592,1
14,424,3899419.846864243,1
15,424,3899419.846922705,1
8,424,3899419.846978546,1
17,424,3899419.848160416,1
24,424,3899419.848246868,1
29,424,3899419.848311810,1
31,424,3899419.848370802,1
19,424,3899419.848434873,1
22,424,3899419.848499295,1
32,424,3899419.848566736,1
23,424,3899419.848626168,1
18,424,3899419.848682869,1
21,424,3899419.848740801,1
30,424,3899419.848795722,1
28,424,3899419.848858914,1
26,424,3899419.848919465,1
25,424,3899419.848985297,1
27,424,3899419.849053569,1
20,424,3899419.849109510,1
35,424,3899419.849176342,1
33,424,3899419.849236303,1
34,424,3899419.849290935,1
41,424,3899419.875443107,1
51,424,3899419.875904278,1
38,424,3899419.875987910,1
46,424,3899419.876073482,1
39,424,3899419.876131524,1
45,424,3899419.876189515,1
42,424,3899419.876863132,1
48,424,3899419.876948754,1
40,424,3899419.877031607,1
49,424,3899419.877096578,1
43,424,3899419.877156270,1
37,424,3899419.877212661,1
44,424,3899419.877269423,1
50,424,3899419.877323174,1
47,424,3899419.877383596,1
36,424,3899419.877441207,1
56,424,3899419.878276528,1
60,424,3899419.878359250,1
63,424,3899419.878421472,1
53,424,3899419.878478363,1
59,424,3899419.878542545,1
61,424,3899419.878602267,1
67,424,3899419.878659338,1
66,424,3899419.878713499,1
62,424,3899419.878771401,1
54,424,3899419.878844373,1
52,424,3899419.878911104,1
65,424,3899419.880344300,1
58,424,3899419.880430973,1
64,424,3899419.880498134,1
57,424,3899419.880557576,1
55,424,3899419.880615047,1
68,424,3899419.880669879,1
80,424,3899419.880734700,1
82,424,3899419.880798502,1
70,424,3899419.880854603,1
81,424,3899419.880914275,1
69,424,3899419.880970206,1
75,424,3899419.881042858,1
74,424,3899419.881110960,1
78,424,3899419.881169891,1
72,424,3899419.881225593,1
79,424,3899419.881279294,1
76,424,3899419.881334665,1
83,424,3899419.881394867,1
71,424,3899419.881448759,1
73,424,3899419.881503140,1
77,424,3899419.881569891,1
90,424,3899419.882738181,1
88,424,3899419.882826533,1
94,424,3899419.882889995,1
91,424,3899419.882953017,1
99,424,3899419.883027728,1
98,424,3899419.883086140,1
85,424,3899419.883141321,1
86,424,3899419.883192663,1
84,424,3899419.883244214,1
96,424,3899419.883306495,1
95,424,3899419.883361837,1
97,424,3899419.883415838,1
87,424,3899419.883473400,1
92,424,3899419.883538731,1
89,424,3899419.883603443,1
93,424,3899419.883672015,1
110,424,3899419.885265585,1
106,424,3899419.885344117,1
105,424,3899419.885412289,1
102,424,3899419.885481281,1
109,424,3899419.885549112,1
108,424,3899419.885624654,1
111,424,3899419.885687846,1
113,424,3899419.885743017,1
100,424,3899419.887275406,1
112,424,3899419.887341157,1
107,424,3899419.887395039,1
115,424,3899419.887448700,1
104,424,3899419.887514762,1
114,424,3899419.887567653,1
103,424,3899419.887620424,1
101,424,3899419.887670536,1
120,424,3899419.887720807,1
118,424,3899419.887779789,1
124,424,3899419.887836150,1
122,424,3899419.887897051,1
117,424,3899419.887951973,1
125,424,3899419.888016325,1
123,424,3899419.888082296,1
119,424,3899419.888140658,1
121,424,3899419.888196869,1
126,424,3899419.888247960,1
116,424,3899419.888309802,1
6,424,3899420.541509650,65
2,424,3899420.541647124,65
4,424,3899420.542402723,65
11,424,3899420.542504735,65
3,424,3899420.542581197,65
0,424,3899420.542677990,65
5,424,3899420.542770842,65
7,424,3899420.542847784,65
10,424,3899420.542916656,65
1,424,3899420.543016378,65
13,424,3899420.543096910,65
9,424,3899420.543171032,65
12,424,3899420.543575182,65
14,424,3899420.543666735,65
15,424,3899420.543739247,65
8,424,3899420.543821379,65
17,424,3899420.544782323,65
24,424,3899420.544888836,65
29,424,3899420.544968238,65
16,424,3899420.545072100,65
19,424,3899420.545147782,65
22,424,3899420.545218694,65
31,424,3899420.545284036,65
23,424,3899420.545351007,65
18,424,3899420.545414229,65
21,424,3899420.545478281,65
30,424,3899420.545551332,65
28,424,3899420.545618564,65
26,424,3899420.545692076,65
25,424,3899420.545758928,65
27,424,3899420.545823279,65
20,424,3899420.545893581,65
41,424,3899420.546895486,65
35,424,3899420.547024690,65
32,424,3899420.547107242,65
38,424,3899420.547180264,65
33,424,3899420.547247195,65
39,424,3899420.547324337,65
45,424,3899420.547393289,65
42,424,3899420.547464011,65
46,424,3899420.547529873,65
40,424,3899420.547593904,65
43,424,3899420.547655866,65
37,424,3899420.547725347,65
44,424,3899420.547802399,65
34,424,3899420.547877141,65
47,424,3899420.547944923,65
36,424,3899420.548031965,65
56,424,3899420.549782459,65
51,424,3899420.549898633,65
60,424,3899420.549976134,65
63,424,3899420.550064797,65
53,424,3899420.550132418,65
59,424,3899420.550204160,65
61,424,3899420.550273592,65
49,424,3899420.550338833,65
48,424,3899420.550401575,65
62,424,3899420.550473247,65
54,424,3899420.550539299,65
52,424,3899420.550608260,65
58,424,3899420.550673072,65
50,424,3899420.550742274,65
57,424,3899420.550804155,65
55,424,3899420.550864887,65
68,424,3899420.550925228,65
70,424,3899420.550997100,65
69,424,3899420.551081903,65
67,424,3899420.551155484,65
73,424,3899420.551221946,65
66,424,3899420.551299668,65
75,424,3899420.551371200,65
74,424,3899420.551446242,65
78,424,3899420.551513253,65
65,424,3899420.551580435,65
72,424,3899420.551643367,65
76,424,3899420.551710348,65
79,424,3899420.551774740,65
71,424,3899420.551835211,65
64,424,3899420.551897813,65
77,424,3899420.551961455,65
90,424,3899420.553891634,65
88,424,3899420.553986166,65
94,424,3899420.554083479,65
80,424,3899420.554167470,65
82,424,3899420.554239852,65
81,424,3899420.554310424,65
91,424,3899420.554384076,65
92,424,3899420.554454798,65
84,424,3899420.554520090,65
85,424,3899420.554583371,65
86,424,3899420.554645302,65
95,424,3899420.554706574,65
87,424,3899420.554768486,65
83,424,3899420.554838207,65
89,424,3899420.554903119,65
93,424,3899420.554966171,65
110,424,3899420.555044133,65
106,424,3899420.555111974,65
105,424,3899420.555177196,65
102,424,3899420.555240858,65
109,424,3899420.555302999,65
99,424,3899420.555364971,65
108,424,3899420.555428653,65
111,424,3899420.555491964,65
98,424,3899420.555556336,65
96,424,3899420.555620227,65
100,424,3899420.555682099,65
107,424,3899420.555744590,65
97,424,3899420.555804272,65
104,424,3899420.555865913,65
103,424,3899420.555926315,65
101,424,3899420.555987167,65
120,424,3899420.556964721,65
118,424,3899420.557078314,65
124,424,3899420.557152456,65
122,424,3899420.557219688,65
113,424,3899420.557281189,65
117,424,3899420.557342321,65
112,424,3899420.557401852,65
125,424,3899420.557461864,65
123,424,3899420.557532136,65
126,424,3899420.557597827,65
115,424,3899420.557665359,65
119,424,3899420.557726840,65
121,424,3899420.557788512,65
114,424,3899420.557847754,65
116,424,3899420.557906785,65
6,424,3899421.017125985,129
