request_id,dataset_index,timestamp_s,decoded_tokens
0,424,3899421.875248088,1
11,424,3899422.042187542,1
13,424,3899422.042270364,1
4,424,3899422.042316395,1
15,424,3899422.042767977,1
10,424,3899422.042823468,1
8,424,3899422.042864349,1
12,424,3899422.042911960,1
14,424,3899422.042954032,1
2,424,3899422.042991882,1
16,424,3899422.043040064,1
9,424,3899422.043077704,1
3,424,3899422.043116076,1
6,424,3899422.043150717,1
1,424,3899422.043188627,1
5,424,3899422.043225708,1
7,424,3899422.043259789,1
17,424,3899422.043454404,1
23,424,3899422.043499595,1
20,424,3899422.043535126,1
18,424,3899422.044019568,1
24,424,3899422.044068950,1
26,424,3899422.044106411,1
32,424,3899422.044148732,1
25,424,3899422.044182223,1
28,424,3899422.044219204,1
21,424,3899422.044255725,1
22,424,3899422.044295906,1
29,424,3899422.044331236,1
19,424,3899422.044365627,1
31,424,3899422.044403768,1
27,424,3899422.044453450,1
30,424,3899422.044486650,1
33,424,3899422.044520971,1
34,424,3899422.044557542,1
35,424,3899422.044594193,1
50,424,3899422.064795974,1
44,424,3899422.064965738,1
39,424,3899422.065022820,1
43,424,3899422.065062111,1
38,424,3899422.065428340,1
49,424,3899422.065472171,1
47,424,3899422.065507172,1
51,424,3899422.065542103,1
48,424,3899422.065576624,1
41,424,3899422.065611515,1
36,424,3899422.065649066,1
46,424,3899422.065685737,1
42,424,3899422.065719297,1
40,424,3899422.065751118,1
37,424,3899422.065782279,1
45,424,3899422.065813090,1
56,424,3899422.066387694,1
54,424,3899422.066436266,1
60,424,3899422.066477997,1
66,424,3899422.066513117,1
62,424,3899422.066546369,1
57,424,3899422.066578329,1
67,424,3899422.066611810,1
65,424,3899422.066647381,1
63,424,3899422.066681402,1
61,424,3899422.066715843,1
64,424,3899422.066750943,1
59,424,3899422.066783995,1
58,424,3899422.066818055,1
55,424,3899422.066850756,1
53,424,3899422.066882407,1
52,424,3899422.066918448,1
76,424,3899422.067300197,1
74,424,3899422.067349339,1
72,424,3899422.067386750,1
82,424,3899422.067421651,1
70,424,3899422.067458381,1
71,424,3899422.067490152,1
83,424,3899422.067521433,1
81,424,3899422.067551584,1
68,424,3899422.067582775,1
78,424,3899422.068268942,1
69,424,3899422.068314863,1
79,424,3899422.068358314,1
73,424,3899422.068397945,1
77,424,3899422.068431466,1
75,424,3899422.068464157,1
80,424,3899422.068502108,1
86,424,3899422.068535979,1
91,424,3899422.068572670,1
87,424,3899422.068606321,1
96,424,3899422.068638941,1
99,424,3899422.068671052,1
88,424,3899422.068705873,1
84,424,3899422.068739284,1
93,424,3899422.068779025,1
92,424,3899422.068810806,1
97,424,3899422.068842956,1
95,424,3899422.068874177,1
85,424,3899422.068905178,1
98,424,3899422.068940199,1
89,424,3899422.068975610,1
90,424,3899422.069021391,1
94,424,3899422.069058022,1
106,424,3899422.069593955,1
113,424,3899422.069639847,1
115,424,3899422.069681458,1
102,424,3899422.069716829,1
108,424,3899422.069754090,1
111,424,3899422.069787540,1
107,424,3899422.069819161,1
112,424,3899422.069850062,1
103,424,3899422.069883513,1
101,424,3899422.069915674,1
104,424,3899422.069953565,1
109,424,3899422.069989816,1
114,424,3899422.070035137,1
110,424,3899422.070067658,1
105,424,3899422.070099538,1
100,424,3899422.070130289,1
117,424,3899422.070510069,1
126,424,3899422.070554120,1
122,424,3899422.070589621,1
120,424,3899422.070625822,1
125,424,3899422.070659202,1
118,424,3899422.070692933,1
121,424,3899422.070724154,1
123,424,3899422.070760015,1
124,424,3899422.070792006,1
119,424,3899422.071550755,1
116,424,3899422.071593746,1
11,424,3899422.585479329,65
13,424,3899422.585690404,65
4,424,3899422.585742636,65
0,424,3899422.585783577,65
15,424,3899422.585821798,65
10,424,3899422.586230028,65
8,424,3899422.586286680,65
12,424,3899422.586329741,65
14,424,3899422.586369911,65
2,424,3899422.586417663,65
9,424,3899422.586456914,65
3,424,3899422.586494375,65
6,424,3899422.586535196,65
1,424,3899422.586573787,65
5,424,3899422.586609257,65
7,424,3899422.586644669,65
17,424,3899422.586843974,65
23,424,3899422.586891815,65
20,424,3899422.586930776,65
18,424,3899422.586973127,65
24,424,3899422.587353846,65
16,424,3899422.587402448,65
26,424,3899422.587447739,65
25,424,3899422.587495930,65
28,424,3899422.587537491,65
21,424,3899422.587576512,65
22,424,3899422.587617603,65
29,424,3899422.587652924,65
