request_id,dataset_index,timestamp_s,decoded_tokens
0,344,3898875.310689390,1
11,362,3898875.500690845,1
8,424,3898875.501105805,1
10,29,3898875.501200918,1
13,295,3898875.501273039,1
2,380,3898875.501859744,1
3,346,3898875.501945437,1
14,380,3898875.502039909,1
1,295,3898875.502113481,1
6,168,3898875.502178452,1
7,55,3898875.502244604,1
12,344,3898875.502306876,1
5,191,3898875.502365647,1
9,122,3898875.502423659,1
4,152,3898875.502486350,1
29,191,3898875.683777013,1
24,344,3898875.684165893,1
19,55,3898875.684254005,1
27,346,3898875.684294776,1
18,168,3898875.684331537,1
15,346,3898875.684701716,1
26,380,3898875.684752388,1
28,152,3898875.684788448,1
17,191,3898875.684827880,1
22,29,3898875.684863090,1
23,362,3898875.684897461,1
20,424,3898875.684931392,1
30,168,3898875.684967093,1
25,295,3898875.685013284,1
16,152,3898875.685050075,1
21,122,3898875.685088916,1
42,168,3898875.685538058,1
36,344,3898875.685583999,1
35,362,3898875.685625220,1
39,346,3898875.685661891,1
41,191,3898875.685696872,1
31,55,3898875.685730283,1
38,380,3898875.685761964,1
32,424,3898875.685795864,1
34,29,3898875.685828685,1
43,55,3898875.685862456,1
40,152,3898875.685897487,1
37,295,3898875.685929048,1
33,122,3898875.685959558,1
52,152,3898875.707953499,1
57,122,3898875.708302778,1
51,346,3898875.708378840,1
50,380,3898875.708437342,1
44,424,3898875.708494393,1
48,344,3898875.709111549,1
47,362,3898875.709198361,1
49,295,3898875.709266303,1
58,29,3898875.709328384,1
53,191,3898875.709384886,1
45,122,3898875.709443077,1
59,362,3898875.709498229,1
46,29,3898875.709557570,1
56,424,3898875.709620492,1
54,168,3898875.709677753,1
55,55,3898875.709732325,1
74,380,3898875.710644868,1
68,424,3898875.710728440,1
66,168,3898875.710790362,1
63,346,3898875.710853743,1
71,362,3898875.710910755,1
75,346,3898875.710964806,1
62,380,3898875.711043798,1
72,344,3898875.711106930,1
73,295,3898875.711163521,1
70,29,3898875.711225523,1
61,295,3898875.711288974,1
60,344,3898875.711341926,1
67,55,3898875.711418168,1
64,152,3898875.711475679,1
69,122,3898875.711528890,1
65,191,3898875.711589202,1
84,344,3898875.712361422,1
82,29,3898875.712437084,1
87,346,3898875.712501225,1
80,424,3898875.712561527,1
88,152,3898875.712616428,1
76,152,3898875.712671099,1
86,380,3898875.712755522,1
78,168,3898875.712808503,1
91,55,3898875.712860214,1
79,55,3898875.712910636,1
81,122,3898875.712961797,1
90,168,3898875.713040099,1
83,362,3898875.713107961,1
77,191,3898875.714076115,1
85,295,3898875.714152777,1
89,191,3898875.714211019,1
106,29,3898875.714267230,1
98,380,3898875.714330892,1
105,122,3898875.714393393,1
101,191,3898875.714448335,1
92,424,3898875.714501156,1
96,344,3898875.714554398,1
104,424,3898875.714607659,1
95,362,3898875.714669681,1
94,29,3898875.714727972,1
97,295,3898875.714783923,1
103,55,3898875.714834925,1
102,168,3898875.714887726,1
107,362,3898875.714938597,1
93,122,3898875.714999049,1
99,346,3898875.715077321,1
100,152,3898875.715133182,1
114,168,3898875.717531814,1
116,424,3898875.717608885,1
113,191,3898875.717669387,1
111,346,3898875.717732168,1
119,362,3898875.717814381,1
122,380,3898875.717873572,1
112,152,3898875.717927324,1
109,295,3898875.717980195,1
123,346,3898875.718046927,1
121,295,3898875.718100308,1
117,122,3898875.718160919,1
118,29,3898875.718219871,1
110,380,3898875.718281402,1
115,55,3898875.718341614,1
108,344,3898875.718393536,1
120,344,3898875.718444247,1
124,152,3898875.718501858,1
125,191,3898875.718557620,1
126,168,3898875.718610291,1
11,362,3898876.186262215,65
8,424,3898876.186733067,65
