request_id,dataset_index,timestamp_s,decoded_tokens
0,344,3898994.151264429,1
7,55,3898994.336480580,1
1,295,3898994.336959692,1
10,29,3898994.337086865,1
5,191,3898994.337151027,1
9,122,3898994.337214269,1
8,424,3898994.337277181,1
6,168,3898994.337333922,1
3,346,3898994.337385353,1
4,152,3898994.337779313,1
11,362,3898994.337854255,1
2,380,3898994.337910346,1
14,380,3898994.337967798,1
13,295,3898994.338036050,1
12,344,3898994.338096421,1
27,346,3898994.529574092,1
30,168,3898994.530120466,1
16,152,3898994.530185677,1
21,122,3898994.530226218,1
29,191,3898994.530264439,1
23,362,3898994.530302730,1
18,168,3898994.530340681,1
25,295,3898994.530385102,1
26,380,3898994.530420463,1
19,55,3898994.530458914,1
24,344,3898994.530499465,1
20,424,3898994.530535836,1
28,152,3898994.530569507,1
17,191,3898994.530914936,1
22,29,3898994.530961437,1
15,346,3898994.531012168,1
34,29,3898994.531049889,1
32,424,3898994.531084610,1
37,295,3898994.531117921,1
35,362,3898994.531150632,1
33,122,3898994.531182773,1
40,152,3898994.531223643,1
43,55,3898994.531497581,1
38,380,3898994.531546292,1
42,168,3898994.531582053,1
41,191,3898994.531613753,1
39,346,3898994.531645184,1
36,344,3898994.531678655,1
31,55,3898994.531710386,1
57,122,3898994.552870794,1
44,424,3898994.553055979,1
52,152,3898994.553106430,1
49,295,3898994.553147151,1
51,346,3898994.553513581,1
59,362,3898994.553558822,1
54,168,3898994.553596143,1
53,191,3898994.553632704,1
46,29,3898994.553668785,1
58,29,3898994.553705855,1
47,362,3898994.553738756,1
55,55,3898994.553771097,1
48,344,3898994.553802398,1
50,380,3898994.553833889,1
56,424,3898994.553873410,1
45,122,3898994.553908121,1
63,346,3898994.554426754,1
62,380,3898994.554474165,1
71,362,3898994.554510646,1
68,424,3898994.554545027,1
67,55,3898994.554578488,1
60,344,3898994.554614849,1
61,295,3898994.554647910,1
65,191,3898994.554678710,1
64,152,3898994.554714091,1
69,122,3898994.554750042,1
75,346,3898994.554786893,1
72,344,3898994.554823784,1
